epoch,avg_loss,lr
81,0.345082,0.000019
82,0.343814,0.000019
83,0.346244,0.000019
84,0.345985,0.000019
85,0.349294,0.000019
86,0.349620,0.000019
87,0.344420,0.000019
88,0.343726,0.000019
89,0.344494,0.000019
90,0.347032,0.000019
91,0.344101,0.000019
92,0.342639,0.000018
93,0.343062,0.000018
94,0.344877,0.000018
95,0.346445,0.000018
96,0.346219,0.000018
97,0.346910,0.000018
98,0.346854,0.000018
99,0.345094,0.000017
100,0.343560,0.000017
